Id,SalePrice
1461,125779.94283443433
1462,159594.0223476972
1463,185773.33206836059
1464,199241.27230287745
1465,189032.97130680515
1466,171309.46035251865
1467,172360.85628714226
1468,164973.2458986536
1469,189067.21687260788
1470,123177.14624774235
1471,185125.70188229164
1472,96353.85225886083
1473,94858.89340783452
1474,147023.2456644557
1475,111833.9755606615
1476,385377.1217456806
1477,250978.06175125658
1478,294185.49340471055
1479,260072.2075962435
1480,518812.2891578789
1481,328461.1372348335
1482,208161.0527915457
1483,175969.0978832643
1484,162615.5941722025
1485,186611.140125538
1486,195856.34587074444
1487,344493.66395641037
1488,236795.71339911254
1489,206765.23637533037
1490,240225.57990550247
1491,193764.74321532313
1492,94578.18622074855
1493,190774.62756219215
1494,285882.2074529838
1495,287162.3103042056
1496,238332.8948003249
1497,180607.4933045911
1498,169804.7374721722
1499,162136.43629624875
1500,158401.87744071457
1501,179894.05062691623
1502,143939.33127098304
1503,298133.3675868508
1504,242144.7948290006
1505,226501.2973504623
1506,185347.0345624944
1507,251972.56822810948
1508,200119.56251960434
1509,163192.76441884844
1510,147167.8301017462
1511,150385.863565005
1512,170991.075479919
1513,149091.59919106276
1514,165107.86785856166
1515,190847.0384484491
1516,151601.23818934013
1517,167287.9306935172
1518,130990.26312081437
1519,216462.64337265043
1520,131580.9731099969
1521,134685.28735770364
1522,177112.67274788124
1523,114902.87675564461
1524,126472.56554521054
1525,123262.79479995184
1526,114235.79655772906
1527,104212.05472604913
1528,134300.07786634463
1529,154418.65838048607
1530,179415.70157253934
1531,100466.12147016879
1532,95414.49457840153
1533,149503.61535887345
1534,121254.78642055424
1535,149968.7590519952
1536,107690.8175070255
1537,62471.65275697078
1538,154859.02769688662
1539,186402.60063083508
1540,93342.79317516353
1541,143855.72458387705
1542,141412.5467433662
1543,201581.473606056
1544,85392.89755162738
1545,110684.83802849789
1546,135340.43648969659
1547,135806.56604729622
1548,137467.46180209628
1549,119874.78881561999
1550,138778.87278561684
1551,105871.0554765356
1552,139004.16893937686
1553,151611.34947104505
1554,116997.44733043005
1555,168143.63539026515
1556,83003.0686566252
1557,108683.12449635056
1558,97680.35658595483
1559,61447.703266190365
1560,127721.14948821448
1561,137521.74358812466
1562,132250.6092766602
1563,124361.85496622682
1564,153217.57658659967
1565,150680.73691546323
1566,243625.4286711447
1567,76981.35048190542
1568,235216.66947480367
1569,136937.04792061297
1570,141793.37276753175
1571,117670.56687555133
1572,144249.8603956827
1573,243666.61846751318
1574,117662.59891680471
1575,227332.45483339828
1576,242935.03852495295
1577,190892.65096614457
1578,142379.19795893886
1579,144133.46923089956
1580,193380.0946311658
1581,156567.67777701086
1582,127808.51005662128
1583,309177.66861956805
1584,219170.11396564497
1585,138533.31339173284
1586,65866.2878100137
1587,102022.4347129934
1588,152005.8873728499
1589,100008.7816209671
1590,132708.8584282023
1591,93528.95982609323
1592,116788.60540618788
1593,123345.39950303854
1594,124521.03819891742
1595,109136.12146966625
1596,229594.09819884624
1597,194710.51425469457
1598,217602.81456566975
1599,166507.5519614445
1600,163708.10275522867
1601,61910.09401023852
1602,114393.40872036267
1603,72771.15519900966
1604,265825.52231100085
1605,243842.73250737396
1606,168197.29541061292
1607,168942.75944089858
1608,219269.17276638743
1609,186836.37590935448
1610,154389.05101021193
1611,140913.58074349957
1612,172168.2017356754
1613,167967.25278357358
1614,126996.3794774301
1615,88343.92776079383
1616,76688.87995021204
1617,91051.21394331615
1618,129045.84291073249
1619,141965.5623704665
1620,157015.16125002192
1621,140825.26003395708
1622,142071.0277831482
1623,269954.39854411164
1624,211095.18634798948
1625,117990.78415484121
1626,164699.75890079187
1627,189300.7791892559
1628,271315.6227754402
1629,180903.1506309683
1630,348434.62416036084
1631,218573.86977948132
